Q5;Q4;Q3;Q2;konsistens
1;2;4;8;1
5;8;9;10;1
7;7;7;8;1
4;5;5;5;1
2;2;3;5;1
4;5;7;8;1
2;4;6;8;1
3;5;5;5;1
4;7;8;9;1
5;5;6;8;1
5;5;3;3;1
2;3;5;9;1
7;6;10;11;1
5;5;4;2;1
10;15;10;5;1
1;2;3;6;1
30;25;20;15;0
5;9;9;12;0
1;2;3;5;1
30;25;20;15;0
5;5;7;10;1
2;4;6;8;1
13;13;14;17;0
4;4;9;10;1
5;6;7;8;0
10;10;10;10;1
7;7;7;10;1
6;7;8;9;1
19;17;15;12;1
15;13;13;12;0
15;5;NA;NA;0
5;7;8;9;1
2;4;6;8;1
3;4;4;5;1
4;5;7;8;1
4;5;5;8;1
18;13;9;6;0
6;7;8;9;1
NA;NA;NA;NA;0
10;10;10;10;1
20;11;3;NA;0
6;7;8;9;1
7;8;10;10;1
5;7;8;9;1
8;8;8;8;1
6;7;8;9;1
8;7;6;5;1
7;8;8;10;1
5;6;7;8;1
7;7;8;9;1
5;6;7;8;1
9;8;8;7;1
18;15;10;10;0
4;5;6;7;1
7;7;7;5;1
5;6;7;8;1
1;1;1;1;1
11;9;14;10;0
NA;NA;NA;NA;0
21;17;13;13;0
10;10;10;10;1
30;25;20;15;0
30;25;20;15;0
20;15;15;10;1
6;7;15;4;1
1;1;2;3;0
11;5;5;10;1
NA;NA;NA;NA;0
6;7;9;9;1
1;0,5;0,5;0,75;1
4;3;5;7;1
2;4;6;8;1
4;5;6;9;1
2;3;4;7;1
0,75;NA;NA;NA;0
6;7;8;9;1
10;10;10;10;1
12;5;6;6;1
15;15;5;5;0
15;14;12;11;1
2;4;6;8;1
3;5;5;8;1
0,25;NA;1;NA;0
5;5;10;10;0
0,5;1;3;5;1
10;10;10;10;1
5;6;7;8;1
6;6;8;10;1
NA;NA;NA;NA;0
11;10;10;10;0
10;10;10;10;1
5;5;7;8;1
10;10;8;8;1
3;5;7;9;0
10;10;10;10;1
10;7;5;7;1
